user_id,assigned_group,personality_type,travel_frequency
1,A,comfort-oriented,daily
2,B,efficiency-oriented,daily
3,B,efficiency-oriented,daily
4,B,efficiency-oriented,daily
5,A,efficiency-oriented,daily
6,A,comfort-oriented,daily
7,A,comfort-oriented,daily
8,B,comfort-oriented,weekly
9,B,efficiency-oriented,daily
10,B,efficiency-oriented,daily
11,A,efficiency-oriented,daily
12,B,comfort-oriented,daily
13,B,efficiency-oriented,daily
14,A,efficiency-oriented,daily
15,A,efficiency-oriented,daily
16,A,comfort-oriented,daily
17,A,efficiency-oriented,weekly
18,B,efficiency-oriented,weekly
19,A,efficiency-oriented,daily
20,A,efficiency-oriented,daily
21,B,comfort-oriented,weekly
22,A,efficiency-oriented,daily
23,A,comfort-oriented,rarely
24,A,comfort-oriented,daily
25,A,efficiency-oriented,daily
26,B,efficiency-oriented,daily
27,A,efficiency-oriented,rarely
28,B,neutral,daily
29,B,efficiency-oriented,daily
30,A,efficiency-oriented,daily
31,B,comfort-oriented,daily
32,A,efficiency-oriented,daily
33,A,comfort-oriented,weekly
34,B,comfort-oriented,daily
35,B,neutral,daily
36,B,efficiency-oriented,weekly
37,A,efficiency-oriented,daily
38,A,neutral,daily
39,B,neutral,rarely
40,A,efficiency-oriented,daily
41,A,efficiency-oriented,weekly
42,A,efficiency-oriented,daily
43,A,comfort-oriented,weekly
44,B,comfort-oriented,daily
45,A,efficiency-oriented,weekly
46,B,efficiency-oriented,weekly
47,A,efficiency-oriented,weekly
48,B,efficiency-oriented,daily
49,B,efficiency-oriented,daily
50,A,efficiency-oriented,weekly
51,B,efficiency-oriented,rarely
52,B,efficiency-oriented,weekly
53,B,efficiency-oriented,rarely
54,B,comfort-oriented,daily
55,B,comfort-oriented,rarely
56,B,comfort-oriented,weekly
57,A,comfort-oriented,weekly
58,A,comfort-oriented,daily
59,A,efficiency-oriented,daily
60,A,efficiency-oriented,weekly
61,A,neutral,daily
62,A,efficiency-oriented,daily
63,B,efficiency-oriented,daily
64,A,efficiency-oriented,daily
65,A,comfort-oriented,weekly
66,B,efficiency-oriented,daily
67,A,efficiency-oriented,daily
68,B,comfort-oriented,daily
69,A,neutral,weekly
70,B,efficiency-oriented,daily
71,B,efficiency-oriented,daily
72,A,neutral,weekly
73,A,efficiency-oriented,rarely
74,B,efficiency-oriented,weekly
75,B,efficiency-oriented,rarely
76,B,efficiency-oriented,weekly
77,B,efficiency-oriented,weekly
78,A,comfort-oriented,daily
79,A,comfort-oriented,daily
80,A,comfort-oriented,daily
81,B,efficiency-oriented,weekly
82,B,neutral,weekly
83,A,efficiency-oriented,weekly
84,A,efficiency-oriented,weekly
85,A,efficiency-oriented,weekly
86,A,comfort-oriented,weekly
87,B,comfort-oriented,weekly
88,B,comfort-oriented,daily
89,B,neutral,daily
90,A,efficiency-oriented,weekly
91,A,efficiency-oriented,daily
92,B,neutral,weekly
93,B,efficiency-oriented,daily
94,B,efficiency-oriented,daily
95,B,efficiency-oriented,weekly
96,A,comfort-oriented,weekly
97,B,comfort-oriented,weekly
98,A,neutral,weekly
99,A,efficiency-oriented,weekly
100,A,efficiency-oriented,weekly
101,A,neutral,weekly
102,B,efficiency-oriented,daily
103,A,comfort-oriented,weekly
104,B,efficiency-oriented,daily
105,B,comfort-oriented,rarely
106,A,neutral,daily
107,A,efficiency-oriented,weekly
108,B,efficiency-oriented,weekly
109,A,neutral,daily
110,A,comfort-oriented,rarely
111,A,efficiency-oriented,daily
112,A,efficiency-oriented,daily
113,B,efficiency-oriented,daily
114,B,comfort-oriented,daily
115,B,efficiency-oriented,daily
116,B,comfort-oriented,weekly
117,B,efficiency-oriented,weekly
118,A,efficiency-oriented,weekly
119,B,comfort-oriented,daily
120,B,efficiency-oriented,weekly
121,B,efficiency-oriented,daily
122,B,comfort-oriented,daily
123,A,efficiency-oriented,daily
124,A,comfort-oriented,weekly
125,A,comfort-oriented,daily
126,A,efficiency-oriented,daily
127,B,efficiency-oriented,weekly
128,B,efficiency-oriented,weekly
129,A,comfort-oriented,weekly
130,B,comfort-oriented,weekly
131,A,comfort-oriented,rarely
132,A,comfort-oriented,weekly
133,A,efficiency-oriented,daily
134,A,efficiency-oriented,rarely
135,B,comfort-oriented,weekly
136,A,comfort-oriented,daily
137,B,efficiency-oriented,weekly
138,B,neutral,weekly
139,A,comfort-oriented,daily
140,B,comfort-oriented,daily
141,B,efficiency-oriented,rarely
142,A,efficiency-oriented,weekly
143,A,neutral,daily
144,A,efficiency-oriented,daily
145,A,comfort-oriented,weekly
146,A,neutral,rarely
147,B,efficiency-oriented,weekly
148,B,comfort-oriented,daily
149,A,efficiency-oriented,weekly
150,A,comfort-oriented,daily
151,B,efficiency-oriented,daily
152,A,comfort-oriented,daily
153,A,efficiency-oriented,daily
154,A,efficiency-oriented,daily
155,B,efficiency-oriented,weekly
156,A,efficiency-oriented,weekly
157,B,comfort-oriented,daily
158,B,comfort-oriented,daily
159,A,comfort-oriented,daily
160,B,comfort-oriented,daily
161,A,neutral,daily
162,B,comfort-oriented,daily
163,B,efficiency-oriented,daily
164,B,efficiency-oriented,daily
165,A,efficiency-oriented,weekly
166,B,efficiency-oriented,weekly
167,A,efficiency-oriented,weekly
168,A,efficiency-oriented,rarely
169,A,comfort-oriented,weekly
170,B,comfort-oriented,daily
171,B,efficiency-oriented,weekly
